state,lga,pcode,conflict_intensity,population_pressure,school_density,cluster_id,cluster_label
Borno,Maiduguri,NG008021,234.04619804811216,506337,0.3100701706570919,0,Expansion
Borno,Gwoza,NG008011,588.2789241347998,165241,0.5628143136388668,2,Emergency
Borno,Jere,NG008013,110.3316411456539,347253,0.3110124318580401,0,Expansion
Borno,Bama,NG008003,375.98414810858486,164251,0.9132364490931564,2,Emergency
Borno,Konduga,NG008016,454.59402139238017,107000,1.2616822429906542,2,Emergency
Yobe,Potiskum,NG036014,22.5788423928778,307313,0.423021479729136,0,Expansion
Borno,Ngala,NG008025,177.57215388435145,159772,0.2315800015021405,3,Infrastructure gap
Yobe,Fune,NG036005,14.342750431188666,308595,0.7485539299081321,0,Expansion
Borno,Damboa,NG008007,285.5618624177372,130214,1.5359331561890426,2,Emergency
Borno,Biu,NG008005,94.05897354903134,225461,0.625385321629905,0,Expansion
Borno,Abadam,NG008001,251.372973470778,71518,0.1398249391761514,2,Emergency
Borno,Kukawa,NG008017,326.38929381861766,70134,1.2975161833062423,2,Emergency
Yobe,Geidam,NG036006,56.53151314911393,216716,0.2307166983517599,0,Expansion
Yobe,Damaturu,NG036003,50.28956205257118,217386,0.1978048264377651,0,Expansion
Borno,Askira/Uba,NG008002,74.40432726711366,198236,0.9988094997881312,3,Infrastructure gap
Borno,Mobbar,NG008023,106.4653642041751,125460,0.2789733779690738,3,Infrastructure gap
Yobe,Gujba,NG036007,105.87949782975797,151872,0.7506321112515804,3,Infrastructure gap
Borno,Monguno,NG008024,131.46773978792203,119233,0.5954727298650542,3,Infrastructure gap
Adamawa,Yola South,NG002021,6.986094698811677,259457,1.4568888100918458,0,Expansion
Adamawa,Fufore,NG002002,0.0,274392,1.6290562407067262,0,Expansion
Borno,Marte,NG008022,214.50643867626107,55459,0.8835355848464631,2,Emergency
Borno,Magumeri,NG008020,81.5113606991411,130859,0.3973742730725437,3,Infrastructure gap
Yobe,Yunusari,NG036016,11.853621457190538,179012,0.4804147208008401,3,Infrastructure gap
Yobe,Fika,NG036004,2.1408966030120213,193200,0.7091097308488613,3,Infrastructure gap
Yobe,Yusufari,NG036017,0.0,165843,0.277370766327189,3,Infrastructure gap
Yobe,Gulani,NG036008,4.464383270422686,177928,0.5788858414639629,3,Infrastructure gap
Adamawa,Jada,NG002008,0.0,221447,1.472135544848203,0,Expansion
Borno,Hawul,NG008012,20.777455502161157,189738,1.2965246814027764,3,Infrastructure gap
Borno,Gubio,NG008009,62.768475379136056,101525,0.4038414183698596,3,Infrastructure gap
Borno,Dikwa,NG008008,123.7580856029,78472,0.9175247221939036,3,Infrastructure gap
Borno,Mafa,NG008019,154.88292023925055,61277,1.2076309218793349,3,Infrastructure gap
Yobe,Tarmuwa,NG036015,19.5843562114362,129192,0.541829215431296,3,Infrastructure gap
Borno,Kaga,NG008014,101.84886070040316,83466,0.8985694773919919,3,Infrastructure gap
Adamawa,Song,NG002018,1.5796365538703934,202892,1.6166236224198094,1,Relatively stable
Yobe,Jakusko,NG036009,0.0,158592,1.015183615819209,3,Infrastructure gap
Yobe,Bade,NG036001,5.9293800430537535,137362,0.7862436481705275,3,Infrastructure gap
Yobe,Nguru,NG036013,0.0,137689,0.762588151558948,3,Infrastructure gap
Borno,Shani,NG008027,2.519977590096348,143363,0.9137643603998242,3,Infrastructure gap
Borno,Nganzai,NG008026,84.80601116217025,63101,0.6497519849130758,3,Infrastructure gap
Yobe,Bursari,NG036002,8.519314775178191,132614,0.9048818375133848,3,Infrastructure gap
Borno,Guzamala,NG008010,58.237610405330585,61296,0.538371182458888,3,Infrastructure gap
Adamawa,Gombi,NG002005,15.464851938911847,172650,1.9403417318273963,1,Relatively stable
Yobe,Machina,NG036011,0.0,105883,0.6044407506398571,3,Infrastructure gap
Borno,Kwaya Kusar,NG008018,0.7878045852560513,96724,0.4652413051569414,3,Infrastructure gap
Borno,Bayo,NG008004,0.0,117391,0.8518540603623787,3,Infrastructure gap
Borno,Chibok,NG008006,84.92344435203584,77754,1.3504128404969518,3,Infrastructure gap
Adamawa,Ganye,NG002003,0.1958930469257917,164918,1.8554675656993167,1,Relatively stable
Yobe,Nangere,NG036012,0.2103785362699478,116694,1.0197610845459064,3,Infrastructure gap
Adamawa,Mayo-Belwa,NG002012,0.2555502518346178,176210,2.0770671358038704,1,Relatively stable
Adamawa,Michika,NG002013,23.206255941155952,137282,1.7263734502702466,1,Relatively stable
Adamawa,Mubi North,NG002014,17.715423954881054,142933,1.8400229478147103,1,Relatively stable
Yobe,Karasuwa,NG036010,2.302793451706838,96463,1.036666908555612,3,Infrastructure gap
Adamawa,Madagali,NG002010,82.34353813199134,96518,2.175759961872397,1,Relatively stable
Adamawa,Mubi South,NG002015,13.09429749971624,134215,1.8850352047088628,1,Relatively stable
Adamawa,Girei,NG002004,23.29051070456692,136997,2.1314335350409133,1,Relatively stable
Borno,Kala/Balge,NG008015,68.44177466383967,41222,1.3827567803600018,3,Infrastructure gap
Adamawa,Hong,NG002007,22.464641178751243,166206,2.9661985728553724,1,Relatively stable
Adamawa,Yola North,NG002020,0.0,140248,2.2674120130055333,1,Relatively stable
Adamawa,Maiha,NG002011,4.55090389297905,103270,2.110971240437688,1,Relatively stable
Adamawa,Demsa,NG002001,16.63520147735279,114893,2.750385140957239,1,Relatively stable
Adamawa,Shelleng,NG002017,2.5540562550258854,75398,1.9761797395156369,1,Relatively stable
Adamawa,Toungo,NG002019,0.0,68090,2.1735937729475694,1,Relatively stable
Adamawa,Guyuk,NG002006,0.6583966568763989,88941,3.238101662900125,1,Relatively stable
Adamawa,Lamurde,NG002009,13.361171865364543,68584,3.0910999650064155,1,Relatively stable
Adamawa,Numan,NG002016,15.492126476731224,51690,4.178757980266976,1,Relatively stable
