state,lga,pcode,disruption_probability,disruption_risk_label,actual_target_proxy
Borno,Maiduguri,NG008021,1.0,1,1
Yobe,Potiskum,NG036014,1.0,1,1
Yobe,Damaturu,NG036003,1.0,1,1
Yobe,Geidam,NG036006,1.0,1,1
Borno,Biu,NG008005,1.0,1,1
Borno,Ngala,NG008025,0.9988888888888887,1,1
Borno,Gwoza,NG008011,0.9983333333333333,1,1
Borno,Abadam,NG008001,0.9974853801169591,1,1
Borno,Mobbar,NG008023,0.9974853801169591,1,1
Borno,Jere,NG008013,0.9933333333333333,1,1
Borno,Magumeri,NG008020,0.9918713450292398,1,1
Borno,Gubio,NG008009,0.9908187134502924,1,1
Borno,Guzamala,NG008010,0.9908187134502924,1,1
Borno,Nganzai,NG008026,0.9908187134502924,1,1
Borno,Kukawa,NG008017,0.9898028404344192,1,1
Borno,Monguno,NG008024,0.9891520467836258,1,1
Borno,Askira/Uba,NG008002,0.9875757575757576,1,1
Borno,Damboa,NG008007,0.9859976456292245,1,1
Borno,Dikwa,NG008008,0.9857552213868004,1,1
Borno,Chibok,NG008006,0.9848028404344192,1,1
Yobe,Gujba,NG036007,0.9826190476190476,1,1
Borno,Hawul,NG008012,0.9809090909090908,1,1
Borno,Bama,NG008003,0.9751948051948053,1,1
Borno,Konduga,NG008016,0.9730409356725145,1,1
Borno,Marte,NG008022,0.9680409356725145,1,1
Borno,Kaga,NG008014,0.9680409356725145,1,1
Borno,Kala/Balge,NG008015,0.9591888053467001,1,1
Yobe,Fune,NG036005,0.9544786324786325,1,1
Adamawa,Hong,NG002007,0.9325925925925925,1,1
Adamawa,Michika,NG002013,0.9319040783777627,1,1
Yobe,Yunusari,NG036016,0.93,1,1
Adamawa,Madagali,NG002010,0.9260846560846561,1,1
Borno,Mafa,NG008019,0.9214444444444443,1,1
Adamawa,Yola South,NG002021,0.9170233655233653,1,1
Adamawa,Girei,NG002004,0.9063068783068783,1,1
Yobe,Tarmuwa,NG036015,0.9047076023391813,1,1
Yobe,Gulani,NG036008,0.8644292929292928,1,1
Adamawa,Jada,NG002008,0.8550789210789211,1,1
Adamawa,Fufore,NG002002,0.8005464535464536,1,1
Yobe,Fika,NG036004,0.7710959595959596,1,1
Yobe,Yusufari,NG036017,0.7080000000000001,1,1
Adamawa,Song,NG002018,0.3165526695526696,0,0
Borno,Kwaya Kusar,NG008018,0.18315443912812338,0,0
Yobe,Machina,NG036011,0.13754040404040402,0,0
Yobe,Bursari,NG036002,0.12737639553429025,0,0
Yobe,Jakusko,NG036009,0.12699161949161947,0,0
Adamawa,Mayo-Belwa,NG002012,0.10491249491249492,0,0
Yobe,Bade,NG036001,0.08704717504717505,0,0
Adamawa,Gombi,NG002005,0.08657916157916158,0,0
Adamawa,Mubi North,NG002014,0.07198656898656898,0,0
Yobe,Karasuwa,NG036010,0.06739330552488446,0,0
Yobe,Nguru,NG036013,0.0619916194916195,0,0
Borno,Shani,NG008027,0.058494543468227675,0,0
Adamawa,Lamurde,NG002009,0.05572201872201872,0,0
Adamawa,Demsa,NG002001,0.054674399674399674,0,0
Adamawa,Toungo,NG002019,0.049145299145299144,0,0
Adamawa,Numan,NG002016,0.04312942612942612,0,0
Adamawa,Mubi South,NG002015,0.032478632478632474,0,0
Adamawa,Ganye,NG002003,0.027875457875457872,0,0
Borno,Bayo,NG008004,0.02386030636030636,0,0
Yobe,Nangere,NG036012,0.014415861915861914,0,0
Adamawa,Yola North,NG002020,0.011986568986568986,0,0
Adamawa,Maiha,NG002011,0.010081807081807082,0,0
Adamawa,Shelleng,NG002017,0.0030341880341880345,0,0
Adamawa,Guyuk,NG002006,0.0030341880341880345,0,0
